wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,direction
192,392,208,408,,,,,,,,,0
184,392,216,408,,,,,,,,,0
176,392,224,408,,,,,,,,,0
168,392,232,408,,,,,,,,,0
160,392,240,408,,,,,,,,,0
152,392,248,408,,,,,,,,,0
144,392,256,408,,,,,,,,,0
136,392,264,408,,,,,,,,,0
128,392,272,408,0.0,1.0,0.0,0.0,,,,,1
128,384,272,416,0.0,1.0,0.0,0.0,,,,,1
128,376,272,424,0.0,1.0,0.0,0.0,,,,,1
128,368,272,432,0.0,1.0,0.0,0.0,,,,,1
128,360,272,440,0.0,1.0,0.0,0.0,,,,,1
128,352,272,448,0.0,1.0,0.0,0.0,,,,,1
128,344,272,456,0.0,1.0,0.0,0.0,,,,,1
128,336,272,464,0.0,1.0,0.0,0.0,,,,,1
128,328,272,472,0.0,1.0,0.0,0.0,,,,,1
128,320,272,480,,,,,0.0,0.0,0.0,1.0,2
136,320,264,480,,,,,1.0,0.0,0.0,0.0,2
144,320,256,480,,,,,1.0,0.0,0.0,0.0,2
152,320,248,480,,,,,1.0,0.0,0.0,0.0,2
160,320,240,480,,,,,1.0,0.0,0.0,0.0,2
168,320,232,480,,,,,1.0,0.0,0.0,0.0,2
176,320,224,480,,,,,1.0,0.0,0.0,0.0,2
184,320,216,480,,,,,1.0,0.0,0.0,0.0,3
184,328,216,472,,,,,0.0,1.0,0.0,0.0,3
184,336,216,464,,,,,0.0,1.0,0.0,0.0,3
184,344,216,456,,,,,0.0,1.0,0.0,0.0,3
184,352,216,448,,,,,0.0,1.0,0.0,0.0,3
184,360,216,440,,,,,0.0,1.0,0.0,0.0,3
184,368,216,432,,,,,0.0,1.0,0.0,0.0,3
184,376,216,424,,,,,0.0,1.0,0.0,0.0,3
184,384,216,416,,,,,0.0,1.0,0.0,0.0,3
184,392,216,408,,,,,0.0,1.0,0.0,0.0,3
184,400,216,400,,,,,0.0,1.0,0.0,0.0,3
184,408,216,392,,,,,0.0,1.0,0.0,0.0,3
184,416,216,384,,,,,0.0,1.0,0.0,0.0,3
184,424,216,376,,,,,0.0,1.0,0.0,0.0,3
184,432,216,368,,,,,0.0,1.0,0.0,0.0,3
184,440,216,360,,,,,0.0,1.0,0.0,0.0,3
184,448,216,352,,,,,0.0,1.0,0.0,0.0,3
184,456,216,344,,,,,0.0,1.0,0.0,0.0,3
184,464,216,336,,,,,0.0,1.0,0.0,0.0,3
184,472,216,328,,,,,0.0,1.0,0.0,0.0,3
184,480,216,320,,,,,0.0,1.0,0.0,0.0,3
184,488,216,312,,,,,0.0,1.0,0.0,0.0,3
184,496,216,304,,,,,0.0,1.0,0.0,0.0,3
184,504,216,296,,,,,0.0,1.0,0.0,0.0,3
184,512,216,288,,,,,0.0,1.0,0.0,0.0,3
184,520,216,280,,,,,0.0,1.0,0.0,0.0,3
184,528,216,272,,,,,0.0,1.0,0.0,0.0,3
184,536,216,264,,,,,0.0,1.0,0.0,0.0,3
184,544,216,256,,,,,0.0,1.0,0.0,0.0,3
184,552,216,248,,,,,0.0,1.0,0.0,0.0,3
184,560,216,240,,,,,0.0,1.0,0.0,0.0,3
184,568,216,232,,,,,0.0,1.0,0.0,0.0,3
184,576,216,224,,,,,0.0,1.0,0.0,0.0,3
184,584,216,216,,,,,0.0,1.0,0.0,0.0,0
176,584,224,216,,,,,0.0,0.0,1.0,0.0,0
168,584,232,216,,,,,0.0,0.0,1.0,0.0,0
160,584,240,216,,,,,0.0,0.0,1.0,0.0,0
152,584,248,216,,,,,0.0,0.0,1.0,0.0,0
144,584,256,216,,,,,0.0,0.0,1.0,0.0,0
136,584,264,216,,,,,0.0,0.0,1.0,0.0,0
128,584,272,216,,,,,0.0,0.0,1.0,0.0,3
128,592,272,208,,,,,0.0,1.0,0.0,0.0,3
128,600,272,200,,,,,0.0,1.0,0.0,0.0,3
128,608,272,192,,,,,0.0,1.0,0.0,0.0,3
128,616,272,184,,,,,0.0,1.0,0.0,0.0,3
128,624,272,176,,,,,0.0,1.0,0.0,0.0,3
128,632,272,168,,,,,0.0,1.0,0.0,0.0,3
128,640,272,160,,,,,0.0,1.0,0.0,0.0,3
128,648,272,152,,,,,0.0,1.0,0.0,0.0,3
128,656,272,144,,,,,0.0,1.0,0.0,0.0,3
128,664,272,136,,,,,0.0,1.0,0.0,0.0,3
128,672,272,128,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
120,672,280,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
112,672,288,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
104,672,296,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
96,672,304,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
88,672,312,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
80,672,320,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
72,672,328,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
64,672,336,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
56,672,344,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
48,672,352,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
40,672,360,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
32,672,368,128,,,,,0.0,0.0,1.0,0.0,2
40,672,360,128,,,,,1.0,0.0,0.0,0.0,2
48,672,352,128,,,,,1.0,0.0,0.0,0.0,2
56,672,344,128,,,,,1.0,0.0,0.0,0.0,2
64,672,336,128,,,,,1.0,0.0,0.0,0.0,2
72,672,328,128,,,,,1.0,0.0,0.0,0.0,2
80,672,320,128,,,,,1.0,0.0,0.0,0.0,2
88,672,312,128,,,,,1.0,0.0,0.0,0.0,2
96,672,304,128,,,,,1.0,0.0,0.0,0.0,2
104,672,296,128,,,,,1.0,0.0,0.0,0.0,2
112,672,288,128,,,,,1.0,0.0,0.0,0.0,2
120,672,280,128,,,,,1.0,0.0,0.0,0.0,2
128,672,272,128,,,,,1.0,0.0,0.0,0.0,2
136,672,264,128,,,,,1.0,0.0,0.0,0.0,2
144,672,256,128,,,,,1.0,0.0,0.0,0.0,2
152,672,248,128,,,,,1.0,0.0,0.0,0.0,2
160,672,240,128,,,,,1.0,0.0,0.0,0.0,2
168,672,232,128,,,,,1.0,0.0,0.0,0.0,2
176,672,224,128,,,,,1.0,0.0,0.0,0.0,2
184,672,216,128,,,,,1.0,0.0,0.0,0.0,2
192,672,208,128,,,,,1.0,0.0,0.0,0.0,2
200,672,200,128,,,,,1.0,0.0,0.0,0.0,2
208,672,192,128,,,,,1.0,0.0,0.0,0.0,2
216,672,184,128,,,,,1.0,0.0,0.0,0.0,2
224,672,176,128,,,,,1.0,0.0,0.0,0.0,2
232,672,168,128,,,,,1.0,0.0,0.0,0.0,2
240,672,160,128,,,,,1.0,0.0,0.0,0.0,2
248,672,152,128,,,,,1.0,0.0,0.0,0.0,2
256,672,144,128,,,,,1.0,0.0,0.0,0.0,2
264,672,136,128,,,,,1.0,0.0,0.0,0.0,2
272,672,128,128,,,,,1.0,0.0,0.0,0.0,2
280,672,120,128,,,,,1.0,0.0,0.0,0.0,2
288,672,112,128,,,,,1.0,0.0,0.0,0.0,2
296,672,104,128,,,,,1.0,0.0,0.0,0.0,2
304,672,96,128,,,,,1.0,0.0,0.0,0.0,2
312,672,88,128,,,,,1.0,0.0,0.0,0.0,2
320,672,80,128,,,,,1.0,0.0,0.0,0.0,2
328,672,72,128,,,,,1.0,0.0,0.0,0.0,2
336,672,64,128,,,,,1.0,0.0,0.0,0.0,2
344,672,56,128,,,,,1.0,0.0,0.0,0.0,2
352,672,48,128,,,,,1.0,0.0,0.0,0.0,2
360,672,40,128,,,,,1.0,0.0,0.0,0.0,2
368,672,32,128,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
368,664,32,136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,656,32,144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,648,32,152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,640,32,160,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,632,32,168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,624,32,176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,616,32,184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,608,32,192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,600,32,200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,592,32,208,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,584,32,216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,576,32,224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,568,32,232,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,560,32,240,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,552,32,248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,544,32,256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,536,32,264,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,528,32,272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,520,32,280,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,512,32,288,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,504,32,296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,496,32,304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,488,32,312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,480,32,320,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,472,32,328,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,464,32,336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,456,32,344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,448,32,352,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,440,32,360,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,432,32,368,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,424,32,376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,416,32,384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,408,32,392,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,400,32,400,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,392,32,408,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,384,32,416,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,376,32,424,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,368,32,432,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,360,32,440,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,352,32,448,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
368,344,32,456,,,,,0.0,0.0,0.0,1.0,0
360,344,40,456,,,,,0.0,0.0,1.0,0.0,0
352,344,48,456,,,,,0.0,0.0,1.0,0.0,0
344,344,56,456,,,,,0.0,0.0,1.0,0.0,0
336,344,64,456,,,,,0.0,0.0,1.0,0.0,0
328,344,72,456,,,,,0.0,0.0,1.0,0.0,0
320,344,80,456,,,,,0.0,0.0,1.0,0.0,0
312,344,88,456,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
312,336,88,464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
312,328,88,472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
312,320,88,480,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
312,312,88,488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
312,304,88,496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
312,296,88,504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
312,288,88,512,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
312,280,88,520,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
312,272,88,528,,,,,0.0,0.0,0.0,1.0,0
304,272,96,528,,,,,0.0,0.0,1.0,0.0,0
296,272,104,528,,,,,0.0,0.0,1.0,0.0,0
288,272,112,528,,,,,0.0,0.0,1.0,0.0,0
280,272,120,528,,,,,0.0,0.0,1.0,0.0,0
272,272,128,528,,,,,0.0,0.0,1.0,0.0,0
264,272,136,528,,,,,0.0,0.0,1.0,0.0,0
256,272,144,528,,,,,0.0,0.0,1.0,0.0,0
248,272,152,528,,,,,0.0,0.0,1.0,0.0,0
240,272,160,528,,,,,0.0,0.0,1.0,0.0,0
232,272,168,528,,,,,0.0,0.0,1.0,0.0,0
224,272,176,528,,,,,0.0,0.0,1.0,0.0,0
216,272,184,528,,,,,0.0,0.0,1.0,0.0,0
208,272,192,528,,,,,0.0,0.0,1.0,0.0,0
200,272,200,528,,,,,0.0,0.0,1.0,0.0,0
192,272,208,528,,,,,0.0,0.0,1.0,0.0,0
184,272,216,528,,,,,0.0,0.0,1.0,0.0,0
176,272,224,528,,,,,0.0,0.0,1.0,0.0,0
168,272,232,528,,,,,0.0,0.0,1.0,0.0,0
160,272,240,528,,,,,0.0,0.0,1.0,0.0,0
152,272,248,528,,,,,0.0,0.0,1.0,0.0,0
144,272,256,528,,,,,0.0,0.0,1.0,0.0,0
136,272,264,528,,,,,0.0,0.0,1.0,0.0,0
128,272,272,528,,,,,0.0,0.0,1.0,0.0,0
120,272,280,528,,,,,0.0,0.0,1.0,0.0,0
112,272,288,528,,,,,0.0,0.0,1.0,0.0,0
104,272,296,528,,,,,0.0,0.0,1.0,0.0,0
96,272,304,528,,,,,0.0,0.0,1.0,0.0,0
88,272,312,528,,,,,0.0,0.0,1.0,0.0,0
80,272,320,528,,,,,0.0,0.0,1.0,0.0,0
72,272,328,528,,,,,0.0,0.0,1.0,0.0,0
64,272,336,528,,,,,0.0,0.0,1.0,0.0,0
56,272,344,528,,,,,0.0,0.0,1.0,0.0,0
48,272,352,528,,,,,0.0,0.0,1.0,0.0,3
48,280,352,520,,,,,0.0,1.0,0.0,0.0,3
48,288,352,512,,,,,0.0,1.0,0.0,0.0,3
48,296,352,504,,,,,0.0,1.0,0.0,0.0,3
48,304,352,496,,,,,0.0,1.0,0.0,0.0,3
